mcc,merch_name,dispute_counts,all_transaction_counts
5541,CENEX FLAGLER 09902636,1,1
5541,CIRCLE K # 20797,1,55
5541,CIRCLE K 00097,2,17
5541,CIRCLE K 2708935,1,34
5541,LITTLE MART,1,3
5541,MARATHON PETRO218321,1,10
5541,MOSED PROPERTY LLC14127 L,2,28
5541,N CULLMAN CONOCO,3,19
5541,PILOT #0482,1,18
5541,RACEWAY 7653580 CAMPBELLT,1,4
5541,SHELL SERVICE STATION601,2,341
5541,SPEEDWAY 06992 1 101 S EA,1,12
5541,SPEEDWAY 08055 5 5935 E T,3,25
5541,UNITED DAIRY FARMERS #219,1,14
5541,VALLEY DAIRY #201220 UNIV,1,65
5542,SHELL OIL 12425821001,1,2
5542,SUNOCO 07516461,1,4
5542,TH MIDWEST #0705,1,9
5611,PAYPAL *NBASTORE.CO,1,13
5621,CNS #77 MADRAG OF W762697,1,1
5651,ROSES #215,1,63
5661,KIDS FOOT LOCKER 48542,1,4
5661,PUBLIC DESIRE,1,9
5691,YOU BEAUTY INC,2,9
5699,Etsy.com - Multiple Sh,1,59
5712,FJAINC,1,1
5719,PAYPAL *COOSFLYPAY,2,9
5732,BESTBUYCOM805897761238,1,1
5812,BIG DAVES CHEESESTEAKS,2,16
5812,DOORDASH*HARLEM SHAKE,1,3
5812,MACADOOS FAMILY RESTAURAN,1,1
5812,PIZZA HUT 030996,1,14
5812,PIZZA HUT 202400020248,1,26
5812,POSTMATES 65D3D JACK I,1,1
5812,POSTMATES UNLIMITED YR,3,19
5812,TEXAS ROADHOUSE #2536,1,7
5812,WONG'S PALACE RESTAURANT,1,8
5814,7776 Dominos Pizza,1,20
5814,BURGER KING #23510,1,30
5814,CHICK-FIL-A #03909,1,35
5814,CUSE CATCH & GRILL,1,10
5814,DEL TACO 1178,1,6
5814,MCDONALD'S F10503,1,23
5814,MCDONALD'S F11598,1,33
5814,MCDONALD'S F1180,1,59
5814,MCDONALD'S F2606,1,24
5814,MCDONALD'S F27399,1,26
5814,MCDONALD'S F33029,1,39
5814,MCDONALD'S F3319,1,74
5814,MCDONALD'S F5533,2,35
5814,POPEYES 8737,1,29
5814,SONIC #1256,1,31
5814,STARBUCKS STORE 52283,1,6
5814,SUBWAY        00569301,1,9
5814,WENDY'S 11501,4,19
5814,WINGSTOP - 733 - MCOMMERC,1,11
5816,8773293611TOPVRTLPLYCS,1,7
5816,GOOGLE *Nanobit,1,9
5816,GOOGLE*ACTIVISION,14,1519
5816,GOOGLE*FORTHELOSSGAME,1,2
5818,AMZN Digital*0K7XM9AQ3,1,1
5818,Prime Video*PS2S347K3,1,1
5818,Prime Video*U862M7ZT3,1,1
5912,CVS/PHARM 06804--2010,3,3
5912,CVS/PHARMACY #01891,2,3
5921,CIRCUS LIQUOR,1,3
5921,FRONTIER SPIRITS,1,42
5921,MARKETPLACE SPIRITS,1,20
5921,NNT CANAL'S DISCOUN371620,1,1
5941,DICK'S SPORTING GOODS 14,1,3
5941,TARGET SPORTS USA,1,52
5941,THUNDERTACTICAL.COM,2,12
5942,AMZN Mktp US*4E6Q82JS3,1,1
5942,AMZN Mktp US*8B7X29XD3,1,1
5942,AMZN Mktp US*Q59RE0BE3,1,1
5942,AMZN Mktp US*U97M95103,1,1
5942,Amazon.com*3Y4SY1DN3,1,1
5945,PP*GOOGLE AD HOC LABS,3,15
5946,PAYPAL *ONEPLUS EBAY ONEP,1,9
5965,OFFICE DEPOT #1170,1,8
5967,LSTCSPAY.COM,4,46
5967,MYBLLR.COM,3,10
5967,NESTINOR.COM,2,20
5968,Amazon Prime*Y71QV84N3,1,1
5968,DIAMONDHOFFNUTRA.COM,1,1
5968,WIX.COM*620215661,1,1
5969,NAGUGA.COM,1,5
5977,NNT KIMS BEAUTY SUP971761,1,1
5977,YOUTH REVEAL,1,1
5993,MR SMOKE & VAPOR,1,2
5999,B & B BEAUTY SUPPLY,1,8
5999,PAYPAL *BAG WHELAN,1,1
5999,PAYPAL *BRENDANBAS EBAY B,1,6
5999,PAYPAL *HCHDIANNANZ EB,1,1
6011,#63324 USA G-194394247 E.,1,2
6011,4302 W CAPIT-2508744302 W,1,58
6011,BAJA MEX SEN-2712512495 R,1,5
6011,Black Oak Casino19400 TUO,2,41
6011,Cardtronics C2ST5830 N CL,1,13
6011,Cardtronics CCS401 W MAIN,1,11
6011,Cardtronics CCSE6220 ST J,1,6
6011,D & G Liquor9039 Somerset,1,2
6011,FAIRGOUNDS-GRETNA II64-A,3,5
6011,FOCUS BANK2525 STADIUM BL,1,9
6011,HILL VIEW TR-2813542656 B,4,5
6011,MINIT MART #7614208 S NOL,1,9
6011,P3416649 PELHAM RD,1,1
6011,P390680105 E KATELLA AVE,1,1
6011,PAI ISO104 SANDHILL RD.,1,2
6011,PAI ISO10669 COLOMA ROAD,1,2
6011,PAI ISO127 NW 20 ST,5,11
6011,PAI ISO1559 S PULASKI RD,1,9
6011,PAI ISO5411 YORK RD,1,15
6011,Pilot TS 2702314 LOVELL R,1,8
6011,Prestige Petro Buckeye880,2,13
6011,SEMINARY SHE-400062414 E,1,13
6011,SUPERMART   -3201652133 C,1,1
6011,Supreme Mart2 S 13th St,1,34
6011,The First Stat145 N. Main,2,9
6011,Walmart Supercenter 15543,1,28
6011,Wells Fargo Ban12420 VENI,1,1
6051,"PRM*tribble, Kyle",6,6
6300,ASURIONWIRELESS INSUR,1,11
6300,FREEDOM NTNL- MAVERICK,1,103
7011,AIRBNB  HM2WJPZH5B,1,1
7011,CORINTH INN & SUITES,1,2
7230,OMO B&P BEAUTY SUPP281884,1,1
7273,IC-OSD.COM,5,68
7273,IDLFLG.COM18888867782,1,18
7273,NMPAYMENT.COM,1,15
7299,24HRAUTO 888-828-4891,1,5
7299,MN VEHICLREGMNRENEWAL,2,4
7311,FACEBK Z628RRADQ2,1,1
7399,TAX ID SUPPORT,1,3
7538,AUTO GLASS NOW LLC #85,1,4
7542,MAGIC MIST CAR WASH,1,5
7542,WASH DEPOT,1,6
7922,GAMETIME    TICKETS,1,40
7994,GLOBALPOK GOLD COIN,9,303
7994,funzpoints-5m2d6ottw,1,1
7994,funzpoints-5m4qmziy2,1,1
7994,funzpoints-5m9u5o9ga,1,1
7994,funzpoints-5mb0v7bm7,1,1
7994,funzpoints-5mb1of8e5,1,1
7994,funzpoints-5mgb4z2a0,1,1
8241,PAYPAL *ROSA GARCIA,1,1
8999,PAYPAL *ASHTONB7769,1,1
8999,PAYPAL *FIVERR COM,1,92
8999,PAYPAL *SHAKIRAHB96,1,2
8999,RECORDS-LOOK.COM,2,13
9222,PARKING TICKET FEE,1,32
9399,FAIRPARK OFFICE1095 MOTOR,1,5
0000,DD:CHARLESTON CP-CPW DRAF,1,1
0000,EFT:12053781,1,2
0000,EFT:12055131,1,2
0000,EFT:12195924,1,1
0000,EFT:12344459,1,1
0000,EFT:12348437,1,1
0000,EFT:12391043,1,1
3504,HILTON HOTEL AMERICAS,4,5
3782,ROSEN INN INTERNATONAL,1,5
4121,LYFT   *RIDE THU 12AM,4,703
4121,LYFT   *RIDE TUE 9AM,12,1396
4722,HOTELSCOM9195597844055,1,2
4722,HOTELSCOM9200605163772,1,1
4722,PRICELN*HAMPTON INN SU,1,1
4784,SKYWAY CONCESSION,3,160
4814,AT&T NR14 DF,1,17
4814,DING   *54121845,1,1
4814,METROPCS WEB,5,663
4814,SECURUS INMATE CALL-V,9,750
4829,CASH APP*DOMINIC RO,2,3
4829,CASH APP*ERASMO GOM,2,2
4829,CASH APP*GRF,2,2
4829,CASH APP*JASLENE HO,1,1
4829,CASH APP*JULIA MACK,1,1
4829,CASH APP*JUSTIN HOW,11,11
4829,CASH APP*LANTRESS,1,2
4829,CASH APP*RUSS B,1,1
4829,CASH APP*SYMONE THO,2,2
4829,FBPAY  Ian Badge,2,2
4829,FBPAY  Julia George,2,2
4829,PCA*MUSCOGEE CREEK TP,1,2
4900,ALBANY UTILITIES,1,15
4900,SPIRE BILL PAY,3,663
4900,STREAMGEORGIAGASSPELLC,1,85
5310,DOLLAR GE 62458 COMMER,1,5
5310,DOLLAR GENERAL # 3716 HOU,1,9
5310,DOLLAR GENERAL # 421796 E,1,26
5310,DOLLAR GENERAL # SOUTH 31,2,13
5310,DOLLAR GENERAL #2806 HOLM,1,19
5310,DOLLAR-GENERAL # 1020 S K,2,14
5310,DOLLAR-GENERAL # 1257 S F,1,7
5310,ROSS STORES #2129,1,1
5311,DILLARDS 914 PARK PLAC,2,3
5331,FAMILY DOLLAR #03974735 J,5,47
5331,FIVE BELOW #60421221 POSN,1,2
5331,PAYPAL *ZHOUKAIXUAN EBAY,1,3
5399,SQ *ALICIA,1,3
5399,SQ *SLEEVES,1,1
5399,WWW.NOLAHMATTRESS.COM,1,4
5411,3 J FAMILY MARKE198 BROAD,1,2
5411,DOLLAR-GE 1313 W 3RD S,1,11
5411,FOOD TOWN 0115367 ANTOINE,2,32
5411,H-E-B #0912508 E. RIVERSI,1,128
5411,NORWOOD GROCERY.,3,10
5411,OMO Rockton Food Ma680551,1,1
5411,STIMACS GROCERY,5,37
5411,WAL Wal-Mart Super 721163,1,1
5411,WAL-MART #09166072 U S HI,1,95
5411,WAL-MART #44971007 RED FA,2,71
5411,WAL-MART #56702171 GULF T,1,14
5499,EASTLAND GROCERY & T,1,27
5499,GNC #0052931420 S. RIVERS,1,1
5499,HARBOR MEAT MARKET3830 GU,1,12
5499,RODRIGUEZ DELI  GROCER,1,1
5532,PEERLESS TYRE 158,1,1
5541,7-ELEVEN1240  FILLMORE,1,18
5541,7-ELEVEN49078 PONTIAC TRA,1,10
5541,CIRCLE K 01247,1,70
5541,CIRCLE K 02943,1,100
5541,DILLON 2 #0360,1,19
5541,EXXONMOBIL    97299713,2,9
5541,EXXONMOBIL    99381923,1,3
5541,FAST STOP 7,1,103
5541,FLASH MARKET CITGO 10,3,11
5541,MURPHY EXPRESS 8767,1,14
5541,NWS SUPER STAR GASO231660,1,1
5541,RANIA OIL,1,10
5541,SHEETZ 675    00006759,1,7
5541,SHELL OIL 10051919008,1,1
5541,SHELL OIL 57529649907,2,9
5541,SPEEDWAY 06906 12461 MIRA,1,7
5541,SPEEDWAY 09916 136 E MAIN,1,46
5541,SUNOCO 03771797,1,10
5542,AMOCO#1862747AMOCO ON KE,1,2
5542,ARCO #42151,9,24
5542,JACKS #8,1,3
5542,LOAF N JUG #0850,1,6
5542,SAMS CLUB #8174SAM'S Club,1,59
5542,T J FOOD LIQUOR,1,3
5621,PAYPAL *FABLETICSLL,1,24
5621,ZARA USA 10837,2,12
5631,SP * VELVET CAVIAR,1,16
5651,GAP OUTLET US 7725,1,12
5651,Kenzo COM,1,7
5661,CHAMPS 143162132 TOWN EAS,1,2
5661,FINISH LINE #0672,1,1
5661,SHOE TREND,1,10
5691,PAYPAL *JOYLAMSPORT,1,1
5691,SQ *STREET2TRACK,1,1
5699,SFXSTYLING FEE,4,162
5732,BESTBUYCOM805699092095,1,1
5734,GOOGLE *OldVegasSlots,1,51
5812,BISCUITVILLE 169,1,2
5812,BOMBSHELLS AUSTIN,1,2
5812,DOORDASH*WINGHOUSE BAR,1,1
5812,HYDE PARK WOOD FIRED KITC,1,1
5812,IMOS PIZZA - GRAVOISARSEN,1,24
5812,LISA'S CHICKEN #03,2,21
5812,POSTMATES 442E1 MCDONA,1,1
5812,POSTMATES 6679A CHIPOT,1,1
5812,ROYAL GRILL.,1,25
5812,STEAK 44,1,3
5812,TGI FRIDAY'S #1756,1,5
5814,BURGER KING #4270  Q07,2,4
5814,DONATOS PIZZERIA #0002,1,20
5814,HABIT-FAIR LAWN #97,1,1
5814,LITTLE CAESARS 0479 0017,1,20
5814,MCDONALD'S F19335,1,27
5814,MCDONALD'S F22190,1,34
5814,MCDONALD'S F3965,2,54
5814,NEPHEW'S PIZZA,1,18
5814,SMOOTHIE KING #0031,1,18
5814,SONIC DRIVE IN #3589,2,34
5814,SUBWAY        00284323,2,2
5814,WHITE CASTLE  060019,1,32
5815,LIVEME UK,5,12
5816,Blizzard Entertainment,1,1330
5816,GOOGLE*2KIT,2,24
5816,GOOGLE*MOON ACTIVE,186,8115
5816,GOOGLE*PINGER INC,1,129
5816,STEAMGAMES.COM,4,2160
5817,GOOGLE*ROBLOX,2,39
5818,Kindle Unltd*K43RL0DP3,1,1
5818,Prime Video*ON77380B3,1,1
5921,GRAND LIQUOR,1,64
5921,NNT BOOTLEGGERS PAC082643,1,1
5921,SUN RAY LIQUOR2131 OLD HU,2,31
5941,DICK'S SPORTING GOODS,3,588
5942,AMAZON.COM*766ZS5Y13 AMZN,1,1
5942,AMZN Mktp US*7O6957O73,1,1
5942,AMZN Mktp US*B07Q057O3,1,1
5942,AMZN Mktp US*P35FV8IJ3,1,1
5947,PAYPAL *MILKDROPS,1,1
5967,GUYROS.COM,1,34
5967,LIVEPAY1.COM,1,2
5968,GOOGLE*NEW WAVE APPS,1,8
5968,WEALTH ACTIVE PERFORMANCE,2,4
5977,PP*MK CNSLT- Juliet Goodw,1,1
5977,THE BUTTER BAR,1,2
5999,HARRAHS TOP DRAWER MENS,1,1
5999,LABEL PEELERS,1,3
5999,PARTY CITY 338,1,2
5999,RADCLIFF RURAL KING 94,1,40
5999,SKATES.COM,1,1
5999,WWW.THINGSREMEMBERED.COM,1,13
6011,3261 Rosewood Grocery Inc,1,9
6011,5/3 - MAPCO VENT4134 GALL,1,13
6011,AMPM EXPRESS-2032124181 H,2,29
6011,Auburn Martin Sunoco585 A,1,35
6011,BANK OF AMERICA*EAST LANC,1,58
6011,CHASE19323 VICTORY BLVD,1,2
6011,COUNTRY CUPB-2963877801 E,1,24
6011,Cardtronics C2ST2610 W,6,9
6011,Cardtronics CCSM&T 1797 J,1,3
6011,Cardtronics CCSP 3915 S N,2,40
6011,EXPRESS LIQU-223320725 N,1,17
6011,FAMILY DOLLAR  8905 DORCH,1,7
6011,Family Financia3575 Henry,1,19
6011,H & L MARKET-33512041627,1,33
6011,HEMPHILL FOO-432940700 CA,1,7
6011,J MART      -441080625 SP,1,2
6011,LA LLENERA S-K767441260 E,1,8
6011,LK47114211664 HWY 231 431,3,3
6011,LK664372314 S 3RD STREET,1,1
6011,MIDLAND CHEV-3712993004 1,1,4
6011,Midway Quick Stop1309 ALL,1,2
6011,NEW 17TH TC -3753452501 N,1,8
6011,NORTHSTAR BANK2202 CENTRA,1,7
6011,P3882605636 E. JUDGE PERE,1,13
6011,PAI ISO1040 E CHURCH ST,1,8
6011,PAI ISO113 HWY 64,1,2
6011,PAI ISO425 NORTHSIDE DR,1,24
6011,PAI ISO502 E. LEE STREET,1,17
6011,PREMIERE NAI-40807818000,1,5
6011,RETAIL WITHD-4629414992 E,1,1
6011,SECU12500 MCCOLL HWY,2,83
6011,Shell 11141916 ATLANTIC B,1,19
6011,TRANSFUND10220 E 31ST STR,1,57
6011,TRANSFUND1520 SOUTHWEST 5,1,125
6011,USAACATM19  8050 S RAINBO,1,1
6011,Wells Fargo Ban1534 N VER,1,5
6011,Wells Fargo Ban8390 NW 27,1,14
6011,Wells Fargo Bank4016 S. R,2,2
6051,quickbit.eu,82,1054
6513,HomeAway Fee,1,14
7011,EL CORTEZ HOTEL CASINO,2,11
7273,SGZDTS.COM 800-490-208,1,7
7273,WATGVE.COM,1,4
7273,pof.com 8883454454,19,1271
7311,GOOGLE *GSUITE_familyo,1,1
7372,DOMAINREG 844-855-4367,1,3
7399,INMATESALES.COM,20,5757
7399,ONLINE HDIRECT,1,1
7994,FUNZPOINTS-5MBQX3H12,1,1
7994,funzpoints-5m64j7hi1,1,1
7994,funzpoints-5m76wmgzc,1,1
7994,funzpoints-5m8x6uesu,1,1
7994,funzpoints-5me3zmsci,1,1
7994,funzpoints-5mgo752z6,1,1
7994,funzpoints-5mjeruzsc,1,1
7994,funzpoints-5mn1p4xcb,1,1
8699,WC *MON FUNSOURCE,1,39
8999,FORMSWIFT.COM/CHARGE,4,131
8999,PAYPAL *FATBOYZOO,1,1
8999,SQ *LAWRENCE PARENT,1,1
0000,EFT:11977728,1,2
0000,EFT:12232539,1,2
0000,EFT:12410375,1,1
0000,EFT:12518945,1,1
0000,EFT:12574290,1,1
0000,EFT:12636781,1,1
0000,EFT:12733229,1,1
3515,RODEWAY INN - EAST COLUMB,1,5
3770,SPRINGHILL STES CHEYEN,1,1
4722,PRICELN*THE WESTIN LON,1,1
4814,VERIZONWRLSS*RTCCR VN,1,441
4816,"CYBERINTEGRATION, LLC",1,1
4829,CASH APP*MANNY CHAR,1,1
4899,HLU*HULU 1604954663838,1,1
5046,PAYPAL *COSMOS INK,1,2
5251,NOR*NORTHERN TOOL,1,34
5310,DD'S DISCOUNTS #5074,1,71
5311,ALIEXPRESS.COM,6,1142
5311,DILLARDS 765 SOUTHLAND,1,3
5331,DOLLAR TREE413 W 1425 N,3,47
5331,DOLLARTREE800 S ROCK ST,1,8
5331,FAMILY DOLLAR #1022315200,1,48
5331,FAMILY DOLLAR #109552600,2,54
5399,FABFITFUN,2,491
5399,SP * VEZIAS,1,4
5399,ladifit.com 6892,1,1
5411,HYDE PARK GROCERY - RETAI,1,6
5411,LA PARADA LATINA FOOD,2,5
5411,MARINO'S #1,1,16
5411,TARGET T-1416 6600 Spring,1,27
5411,WAL WAL-MART SUPER 040,1,19
5411,WAL Wal-Mart Super 020107,1,2
5411,WAL Wal-Mart Super 122158,1,2
5411,WAL Wal-Mart Super 222390,1,7
5411,WAL Wal-Mart Super 250103,1,2
5411,WAL Wal-Mart Super 340046,1,3
5411,WAL Wal-Mart Super 822877,1,5
5411,WAL-MART #33505198 BOULDE,1,211
5411,WAL-MART #5116,2,14
5499,JJ'S MART8006 PARK AVE,1,8
5499,MARKET 4970 W 49 STREET,1,1
5499,NNT BIG D FOOD STOR181266,1,1
5499,NOURE'S CONVENIENCE STO,1,74
5499,Three Brothers Grocery,1,15
5532,HERNANDEZ TIRE SHOP WA,1,1
5533,PAYPAL *FOURBANG EBAY,1,4
5541,7 ELEVEN 113,6,104
5541,7-ELEVEN 36525,1,1
5541,7-ELEVEN4501 PARADISE RD,3,167
5541,7-ELEVEN7084 E. BROADWAY,1,30
5541,7-ELEVEN9300 S EASTERN AV,1,26
5541,ARCO #42592,1,18
5541,CALFEES GENERAL STORE,1,5
5541,CASEYS GENEVA725 N MAIN S,1,8
5541,CEFCO #0070 TEMPLE TX,1,32
5541,CHEVRON 0376191,1,28
5541,CIRCLE B 11,1,2
5541,CIRCLE K 05618,1,131
5541,EXXONMOBIL    48306344,1,2
5541,HOLIDAY OIL #393894 S HIG,1,16
5541,KWIK STAR 1004,3,66
5541,MILLIKEN GAS STATION,1,9
5541,NNT DISCOUNT MEAT &872296,1,1
5541,NNT LUCKY FOOD MART772303,1,1
5541,PHILLIPS 66 - ONCUE 0119,2,47
5541,QT 315 INSIDE,1,9
5541,QUICK RUN STORE,1,37
5541,ROYAL INC,1,34
5541,SHELL OIL 10084855013,1,2
5541,SHELL SERVICE STATION2605,1,100
5541,SHELL SERVICE STATION5515,1,9
5541,SUNOCO 03640661042350 CEN,1,27
5541,WAWA 982      00009829,1,19
5542,ARCO #66191,1,8
5542,CIRCLE K # 03483,1,19
5542,CIRCLE K # 06059,4,51
5542,CORNER STORE 2140,1,8
5542,QT 877 OUTSIDE,1,32
5542,SUNOCO 010014780016621 SH,1,3
5542,SUNOCO 0238577100,1,4
5611,SOLBIATO SPORT,1,3
5621,PAYPAL *CUONGNGUYEN,1,21
5621,SUNJOY TECHNOLOGY LIMITED,2,22
5651,DENIM EXCHANGE,2,6
5651,H&M0489,1,1
5661,FINISH LINE #060 12540 N,1,1
5661,FOOT LOCKER 08265,1,11
5661,G* GOAT947#07741,1,1
5691,STOCKX,10,855
5698,SUN FASHION AND BEAUTY,1,16
5699,Bargain #4,1,2
5699,PAYPAL *ZHOUQUANWEN EBAY,1,19
5699,RAINBOW #11211455 FRANKLI,1,3
5733,ALTO MUSIC,1,1
5734,DAVID JORDAN LLC,1,2
5734,GOOGLE *CANDYWRITER,1,1
5734,GOOGLE *Clickteam,1,108
5734,WWW.NORDVP* NORDVPN SU,2,17
5812,AW SHUCKS,1,5
5812,DENNY'S #7467,1,2
5812,GRUBHUBPIZZABOLIS,1,29
5812,GRUBHUBTEXASTOMS,1,1
5812,HUNGRY HOWIES 151,2,21
5812,NEW YORK ROMA PIZZA,1,2
5812,PIZZA HUT 033141,1,8
5812,WAFFLE HOUSE 1053,1,12
5814,2067 Dominos Pizza,1,8
5814,3377 Dominos Pizza,1,8
5814,3714 EL POLLO LOCO,1,5
5814,4957 Dominos Pizza,1,4
5814,BURGER KING #11020,1,16
5814,CHICK-FIL-A #01018,1,39
5814,CHICK-FIL-A #01740,1,13
5814,CMSVEND*PRESTIGE SERVICES,2,810
5814,DEL TACO 0714,2,37
5814,JACK IN THE BOX 0500,1,45
5814,JACK IN THE BOX 6801,1,5
5814,LITTLE CAESARS 3376,1,21
5814,MCDONALD'S F11585,2,76
5814,MCDONALD'S F13477,1,50
5814,MCDONALD'S F26202,1,61
5814,MCDONALD'S F27989,1,54
5814,MCDONALD'S F6295,1,29
5814,MCDONALD'S F7482,2,50
5814,PANDA EXPRESS #2547,1,3
5814,PAPA JOHN'S #3707,1,5
5814,POPEYES 2458,1,33
5814,SONIC DRIVE IN #5727,1,15
5814,SUBWAY        00298042,1,1
5814,TACO BELL #029581,1,29
5814,TACO BELL 000300036699,1,9
5814,TACO BELL 734642,1,9
5814,TACO CASA #014,1,31
5814,USCONNECT CRH CATERING,14,360
5814,WENDYS #246,1,30
5814,WHATABURGER 367    Q26,1,21
5814,WIENERSCHNITZEL 156,1,9
5815,BESTEDUPRO,1,5
5816,8774258097TOPCRBRMGMCS,2,10
5817,GOOGLE *Samfinaco,1,7
5818,AMZN Digital*P749P9773,1,1
5818,GOOGLE *kartasovs,3,20
5818,GOOGLE* Moon Active,1,2
5818,Prime Video*HD28Y7YL3,1,1
5818,Prime Video*JR7JB51Z3,1,1
5818,Prime Video*XL8IO8N43,1,1
5912,WALGREENS STORE 1 SE 3RD,1,4
5921,CASTLE FOOD AND LIQU,1,29
5921,NEW HANOVER CO ABC STORE,1,89
5921,OMO MILFORD LIQUORS032728,1,1
5921,OMO QUICKSTOP LIQUO731187,1,1
5932,PAYPAL *EBAY EBAY EBAY,1,1
5933,UNIVERSAL JEWELRY PA,1,2
5942,AMZN MKTP US*MG88L11Y1 AM,1,1
5942,AMZN MKTP US*VJ7IP1GF3 AM,1,1
5942,AMZN Mktp US*482HR3643,1,1
5943,STAPLES       00105395,1,5
5967,CBOTEK.COM,7,92
5967,GROPGA.COM,2,28
5967,pronetbil.com,1,1
5968,Amazon Prime*FB88G71Q3,1,1
5968,GOOGLE*TAGGED,1,12
5968,WWW.PUREKETOPLUS.COM,1,6
5999,CUZ'S ONE STOP SHOP,2,37
5999,PARTY CONCEPTS,1,1
6011,7ELEVEN-FCTI23060 SOLEDAD,1,1
6011,A AND A  GAS FUEL MINI FO,1,21
6011,BANK OZK600 EAST PARK AVE,1,48
6011,BK OF THE WEST1440 E HAMM,2,40
6011,CHASE11311 FLORIDA BLVD,1,27
6011,CHASE380 BOARDMAN CANFIEL,2,6
6011,CIRCLE K 138-K533304639 M,1,8
6011,Cardtronics C2S.3464 RESE,1,2
6011,Cardtronics CCS1 52  E  P,1,14
6011,Cardtronics CCSM13011 HWY,4,4
6011,Cardtronics CCSP4000 WOOD,1,6
6011,Cardtronics CCSP8193 MALL,11,45
6011,GIANT OIL # -K4824675002,2,11
6011,J's Liquor & Junior Ma120,1,1
6011,MAVERIK-DELT-38132944 NOR,4,5
6011,Makhlouf Food Store3220 B,1,12
6011,PAI ISO495 WHITEHALL ST S,1,2
6011,PHILADELPHIA FC5000 BALTI,1,16
6011,PNC BANK1435 W BROAD ST,3,33
6011,PUBLIX SUPER MAR6890 MIRA,1,18
6011,S AND C FUEL-K30687315500,2,22
6011,SECU336 US 70 W.,6,43
6011,SHORT STOP E-K7824171110,1,3
6011,Sunoco Amherst979 N LEAVI,1,2
6011,The Plaza Grocery  Meat10,1,5
6011,U.S. BANKUS BANK SAINT HE,1,14
6011,USA GROCERY -K4723802590,1,23
6011,VICTORYLAND -K6532888680,1,27
6011,Valero Mini Mart3624 S KE,1,4
6011,Villa Deli Grocery Inc313,1,9
6011,Walmart Supercenter 11021,4,12
6011,Wells Fargo Ban6707 NW 18,1,5
6011,Wells Fargo Ban921 RALPH,1,40
6011,Wells Fargo Ban9323 E. FI,3,6
6012,ZEL*GABRIELA HERNANDEZ,2,4
6051,JPAY MONEY TRANSFER,10,1213
6051,MoonPay 5109,1,1
6051,SIMPLEX-BITSTAMP,3,58
7011,HAWTHORNE SUITES TEMPE,1,5
7011,HIWAY MOTEL,1,3
7230,SUPERCUTS KENDALL MAL,1,1
7230,U S NAILS,1,1
7273,MTCHIN.COM,4,99
7273,SINSTN.COM18778016107,3,46
7273,bmgynv.com,1,1
7298,GOLDEN NAILS & TANNING,1,1
7299,QUALIFYDEALS,2,20
7311,FACEBK USVE9Q2692,1,1
7372,CHARGE FOR STUBS,18,374
7372,ZG *HOTPADSRENTALS,1,40
7375,findinfogo.com,1,41
7399,ONLINEVOUCHE.COM,31,437
7994,funzpoints-5m3szvy5e,1,1
7994,funzpoints-5m3yybewu,1,1
7994,funzpoints-5m5urxrpo,1,1
7994,funzpoints-5m6z1mw09,1,1
7994,funzpoints-5m9ds3dcs,1,1
7994,funzpoints-5mat4fags,1,1
7994,funzpoints-5mbd7di6l,1,1
7994,funzpoints-5mc3z15bj,1,1
7994,funzpoints-5mnng4z8j,1,1
7996,D30 CELEBRATE MEMORIES,1,20
8299,PAYPAL *ABCMOUSE,2,118
8675,AAA MO MEMBERSHIP WEB,1,9
